Month,Year,Cumulative Gross,% of Year,Releases,Average
December,2023,321770088,3.8%,82,3924025
November,2023,551961137,6.5%,111,4972622
October,2023,556040943,6.6%,115,4835138
September,2023,472947170,5.6%,116,4077130
August,2023,812833316,9.6%,104,7815704
July,2023,1362543540,16.1%,92,14810255
June,2023,1003737346,11.8%,98,10242217
May,2023,774058701,9.1%,105,7371987
April,2023,900856943,10.6%,128,7037944
March,2023,638179407,7.5%,131,4871598
February,2023,499389906,5.9%,110,4539908
January,2023,584765684,6.9%,89,6570400
December,2022,677889565,9.2%,103,6581452
November,2022,627967014,8.5%,104,6038144
October,2022,469077379,6.4%,124,3782882
September,2022,323170990,4.4%,134,2411723
August,2022,466953463,6.3%,93,5021004
July,2022,1133519549,15.4%,92,12320864
June,2022,968941491,13.1%,96,10093140
May,2022,785932315,10.7%,89,8830700
April,2022,571022697,7.7%,96,5948153
March,2022,589385878,8%,96,6139436
February,2022,365862371,5%,80,4573279
January,2022,389782780,5.3%,66,5905799
December,2021,921180089,20.5%,101,9120594
November,2021,523343646,11.7%,87,6015444
October,2021,623287457,13.9%,93,6702015
September,2021,367172835,8.2%,93,3948095
August,2021,417701047,9.3%,94,4443628
July,2021,582543500,13%,91,6401576
June,2021,401276723,9%,85,4720902
May,2021,214709870,4.8%,83,2586865
April,2021,195097683,4.4%,79,2469590
March,2021,113597962,2.5%,64,1774968
February,2021,57759509,1.3%,62,931604
January,2021,65138132,1.5%,55,1184329
December,2020,67691870,3.2%,65,1041413
November,2020,62738998,3%,86,729523
October,2020,63361603,3%,84,754304
September,2020,86031381,4.1%,62,1387602
August,2020,32316928,1.5%,50,646338
July,2020,7806635,0.4%,45,173480
June,2020,3677627,0.2%,22,167164
May,2020,995838,<0.1%,13,76602
April,2020,52015,<0.1%,6,8669
March,2020,253334028,12%,144,1759264
February,2020,638097308,30.2%,158,4038590
January,2020,897742569,42.5%,146,6148921
December,2019,1148160245,10.1%,167,6875211
November,2019,959213976,8.4%,189,5075206
October,2019,781640026,6.9%,217,3602027
September,2019,686794246,6%,204,3366638
August,2019,837630353,7.4%,211,3969812
July,2019,1288196026,11.3%,190,6779979
June,2019,1149048054,10.1%,192,5984625
May,2019,1077667188,9.5%,225,4789631
April,2019,1034983338,9.1%,220,4704469
March,2019,962715490,8.5%,192,5014143
February,2019,624462229,5.5%,147,4248042
January,2019,812849718,7.2%,161,5048756
