,Holiday,month,num_month,Cumulative Gross,% of Year,Releases,Average,#1 Release,Gross,% of Total
0,Post-Thanksgiving Weekend,November,11,97203446,0.011000000000000001,52,1869297,Renaissance: A Film by Beyoncé,21801216,0.22399999999999998
1,Thanksgiving Weekend,November,11,116005630,0.013999999999999999,54,2148252,The Hunger Games: The Ballad of Songbirds & Snakes,29042517,0.25
2,Thanksgiving 4-Day Weekend,November,11,138550022,0.016,37,3744595,The Hunger Games: The Ballad of Songbirds & Snakes,34924898,0.252
3,Thanksgiving,November,11,22728673,0.003,31,733183,The Hunger Games: The Ballad of Songbirds & Snakes,5882381,0.259
4,Thanksgiving 5-Day Weekend,November,11,173203005,0.02,40,4330075,The Hunger Games: The Ballad of Songbirds & Snakes,42206080,0.244
5,Halloween,October,10,10315133,0.001,35,294718,Five Nights at Freddy's,5249255,0.509
6,Indigenous People's Day,October,10,10021464,0.001,44,227760,The Exorcist: Believer,2381205,0.23800000000000002
7,Indigenous People's Day Weekend,October,10,82594224,0.01,48,1720713,The Exorcist: Believer,28878805,0.35
8,Labor Day,September,9,25795551,0.003,39,661424,The Equalizer 3,8211204,0.318
9,Labor Day Weekend,September,9,115070634,0.013999999999999999,60,1917843,The Equalizer 3,42815433,0.37200000000000005
10,Independence Day,July,7,40230985,0.005,23,1749173,Sound of Freedom,14242063,0.354
11,Independence Day Weekend,July,7,196321885,0.023,28,7011495,Indiana Jones and the Dial of Destiny,83860951,0.42700000000000005
12,Memorial Day,May,5,40549480,0.005,36,1126374,The Little Mermaid,23240863,0.573
13,Memorial Day Weekend,May,5,203750914,0.024,61,3340178,The Little Mermaid,118818903,0.583
14,Easter,April,4,48714791,0.006,36,1353188,The Super Mario Bros. Movie,34567680,0.71
15,Easter Weekend,April,4,231916311,0.027000000000000003,39,5946572,The Super Mario Bros. Movie,166472810,0.718
16,President's Day,February,2,22125148,0.003,36,614587,Ant-Man and the Wasp: Quantumania,14284967,0.6459999999999999
17,President's Day Weekend,February,2,166970765,0.02,57,2929311,Ant-Man and the Wasp: Quantumania,120394617,0.721
18,MLK Day,January,1,21708737,0.003,32,678398,Avatar: The Way of Water,7056071,0.325
19,MLK Day Weekend,January,1,124779112,0.015,43,2901839,Avatar: The Way of Water,39880755,0.32
20,New Year's Day,January,1,36533901,0.004,31,1178512,Avatar: The Way of Water,24519161,0.6709999999999999
